Country ID,Country,"Time Series - NOx total emissions, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NOx emissions, latest year",% change since 1990,"NOx  emissions per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg
148,Chad,...,...,...,75.74,...,...,...,...,12.13,11.43,10.84,10.47,9.97,9.67,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,9.67,...,1.03
152,Chile,130.10,...,...,162.33,104.30,...,...,...,...,...,162.90,...,...,...,...,...,301.75,...,...,...,205.40,...,...,263.70,...,...,297.50,...,...,2016,297.50,128.67,16.34
170,Colombia,232.13,...,...,...,275.00,...,...,...,...,...,316.13,...,...,...,332.01,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,332.01,43.03,7.89
174,Comoros,...,...,...,...,0.05,...,...,...,...,...,0.62,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,0.62,...,1.15
178,Congo,...,...,...,...,14.44,...,...,...,...,...,11.62,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,11.62,...,3.72
188,Costa Rica,30.59,...,...,...,...,...,25.22,...,...,...,21.52,...,...,...,...,25.18,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,25.18,-17.70,5.87
384,Côte d’Ivoire,...,...,...,...,132.02,...,...,...,...,...,276.22,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,276.22,...,16.79
191,Croatia,100.79,75.44,71.20,71.48,73.93,75.32,80.70,82.85,85.35,88.36,82.32,83.04,85.40,84.69,82.25,80.62,80.04,82.83,78.24,72.46,64.36,60.93,55.25,54.44,51.04,51.06,50.69,49.99,45.92,2018,45.92,-54.44,11.05
192,Cuba,139.69,...,...,...,...,...,...,...,...,...,96.80,...,83.82,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,83.82,-40.00,7.48
196,Cyprus,16.99,17.22,19.32,19.66,20.82,19.71,20.31,20.58,20.94,21.39,22.70,22.06,22.11,22.40,21.94,22.03,21.86,22.08,20.66,20.49,19.09,21.88,22.00,16.81,17.88,15.55,15.22,15.22,14.80,2018,14.80,-12.89,12.45
203,Czechia,727.61,692.48,651.43,529.85,436.99,369.66,350.73,322.06,304.00,279.46,279.69,283.07,275.33,276.27,276.65,271.42,266.50,264.39,248.58,234.81,229.06,216.63,204.54,189.61,185.13,178.80,170.60,167.31,160.87,2018,160.87,-77.89,15.08
408,Democratic People's Republic of Korea,459.00,...,...,...,318.00,...,...,...,...,...,169.00,...,159.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,159.00,-65.36,6.81
180,Democratic Republic of the Congo,...,...,...,...,232.23,...,...,...,...,746.00,761.38,746.62,746.01,749.82,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,749.82,...,14.58
208,Denmark,305.42,355.34,310.93,309.47,311.01,292.80,327.49,280.33,259.99,241.19,229.98,226.77,223.57,233.12,216.37,208.16,207.32,193.44,177.31,157.88,153.18,143.93,132.78,127.87,118.28,116.75,116.96,114.21,108.86,2018,108.86,-64.36,18.93
262,Djibouti,...,...,...,...,1.42,...,...,...,...,...,1.89,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1.89,...,2.63
212,Dominica,...,...,...,...,0.43,...,...,...,...,...,0.58,0.68,0.67,0.61,0.58,0.63,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,0.63,...,8.93
214,Dominican Republic,54.12,...,...,...,77.90,...,...,...,78.64,...,92.96,...,...,...,...,...,...,...,...,...,7.48,...,...,...,...,...,...,...,...,2010,7.48,-86.18,0.77
218,Ecuador,128.14,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,212.02,...,229.31,...,...,...,...,...,...,2012,229.31,78.96,14.82
818,Egypt,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,399.42,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,399.42,...,5.29
222,El Salvador,...,...,...,...,33.89,...,...,...,...,...,...,...,...,...,...,39.47,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,39.47,...,6.52
232,Eritrea,...,...,...,...,0.30,...,...,...,...,...,5.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,5.00,...,2.18
233,Estonia,95.56,87.90,58.38,49.72,52.98,50.06,53.61,53.56,50.64,45.60,43.89,45.36,45.08,46.08,44.61,41.29,40.24,45.37,41.46,38.25,45.02,44.01,41.35,37.67,39.76,39.36,39.67,41.28,42.15,2018,42.15,-55.89,31.86
748,Eswatini,...,...,...,...,19.88,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,19.88,...,21.90
231,Ethiopia,158.00,151.00,153.00,166.00,58.98,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,52.44,...,...,...,...,...,2013,52.44,-66.81,0.55
242,Fiji,...,...,...,...,3.30,...,...,...,...,...,...,...,...,...,11.49,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,11.49,...,14.05
246,Finland,298.29,290.01,282.18,286.33,286.83,265.71,270.07,264.44,250.37,245.67,234.70,237.82,234.36,242.39,228.76,199.85,215.97,204.55,187.66,170.77,179.46,163.70,154.68,150.96,143.15,132.17,127.62,124.02,119.80,2018,119.80,-59.84,21.69
250,France,"2,114.01","2,170.11","2,152.47","2,046.52","1,989.08","1,945.48","1,922.03","1,856.53","1,883.81","1,831.40","1,779.99","1,743.49","1,703.50","1,658.63","1,620.62","1,576.67","1,485.74","1,419.86","1,318.60","1,241.17","1,220.61","1,157.40","1,124.29","1,108.55","1,020.94",988.20,944.55,925.55,871.52,2018,871.52,-58.77,13.41
266,Gabon,...,...,...,...,"3,838.00",...,...,...,...,...,7.54,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,7.54,...,6.14
270,Gambia,...,...,...,2.34,...,...,...,...,...,...,3.84,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,3.84,...,2.92
268,Georgia,128.47,109.85,45.78,30.31,18.45,24.62,47.45,53.68,...,...,20.00,18.00,19.00,18.40,23.00,23.00,31.00,49.00,33.00,34.00,4.75,5.01,4.95,47.11,...,...,...,...,...,2013,47.11,-63.33,11.64
276,Germany,"2,887.11","2,657.63","2,503.82","2,400.99","2,265.23","2,213.55","2,126.16","2,050.17","2,021.15","1,986.09","1,912.10","1,849.72","1,788.22","1,743.08","1,695.19","1,640.62","1,651.88","1,600.84","1,551.78","1,455.30","1,472.83","1,454.68","1,438.21","1,438.28","1,392.70","1,364.08","1,333.10","1,283.88","1,197.59",2018,1197.59,-58.52,14.41
288,Ghana,...,...,...,...,...,...,...,...,...,...,50.06,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,50.06,...,2.60
300,Greece,315.35,326.04,333.17,329.80,339.11,320.11,323.79,337.14,360.75,358.75,349.55,372.79,371.15,381.37,387.46,400.96,402.33,403.28,383.59,371.40,315.07,292.90,242.98,242.71,236.47,233.29,229.79,250.45,169.19,2018,169.19,-46.35,16.08
320,Guatemala,42.58,...,...,...,46.06,...,...,...,...,...,71.81,...,...,...,...,92.93,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,92.93,118.27,7.10
324,Guinea,...,...,...,...,28.67,...,...,...,...,...,21.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,21.00,...,2.55
624,Guinea-Bissau,...,...,...,...,4.88,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7.06,...,...,...,...,...,...,...,...,2010,7.06,...,4.64
328,Guyana,15.00,15.00,15.00,15.00,15.00,15.00,16.00,16.00,16.00,16.00,14.00,15.00,15.00,15.00,15.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,15.00,0.00,20.11
332,Haiti,...,...,...,...,6.30,11.76,12.29,13.65,13.94,16.14,14.69,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,14.69,...,1.74
340,Honduras,...,...,...,...,...,32.39,...,...,...,...,33.22,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,33.22,...,5.05
348,Hungary,245.11,214.70,192.93,192.50,191.43,189.38,192.60,194.66,194.68,198.67,186.23,186.27,178.93,182.60,180.36,176.86,169.56,165.56,159.89,148.81,145.56,136.00,127.95,125.59,123.83,125.85,118.74,119.89,119.14,2018,119.14,-51.39,12.27
352,Iceland,30.89,29.60,31.96,33.66,32.99,34.36,34.85,34.53,33.36,33.08,32.59,29.04,31.21,30.62,31.59,28.15,27.72,30.32,27.94,27.77,26.22,23.79,23.55,22.68,22.46,23.01,20.91,21.23,21.90,2018,21.90,-29.10,65.05
360,Indonesia,17.41,17.47,19.85,20.36,836.97,...,...,...,...,...,84.67,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,84.67,386.33,0.40
364,Iran (Islamic Republic of),...,...,...,...,"1,201.36",...,...,...,...,...,600.76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,600.76,...,9.15
372,Ireland,172.73,174.98,183.38,175.36,174.36,172.47,175.18,169.09,177.37,173.47,175.00,173.87,166.52,165.86,167.69,169.52,165.00,160.86,146.91,122.93,116.80,104.63,107.19,108.98,108.42,110.81,111.35,108.82,108.51,2018,108.51,-37.18,22.52
376,Israel,...,...,...,...,...,...,219.90,...,...,...,236.67,...,...,206.59,195.51,196.51,191.30,192.41,183.84,167.32,163.42,158.10,179.71,147.09,127.20,120.03,104.63,98.17,94.68,2018,94.68,...,11.30
380,Italy,"2,127.05","2,194.19","2,233.25","2,129.41","2,029.14","1,990.80","1,918.96","1,841.48","1,727.59","1,629.43","1,511.52","1,480.70","1,424.58","1,402.11","1,352.45","1,296.34","1,241.07","1,175.09","1,061.04",972.21,950.58,906.44,858.79,791.03,770.96,735.43,715.21,674.80,672.30,2018,672.30,-68.39,11.09
388,Jamaica,...,...,...,...,30.86,...,...,...,...,...,...,...,...,...,...,...,64.76,55.41,66.57,46.37,42.24,...,43.97,...,...,...,...,...,...,2012,43.97,...,15.47
392,Japan,"1,976.83","2,024.96","1,996.19","1,981.67","2,017.96","2,078.20","2,063.99","2,088.02","1,991.29","2,031.04","2,040.45","2,019.56","2,066.80","2,047.67","1,978.30","1,953.54","1,869.76","1,780.02","1,646.32","1,558.76","1,562.23","1,498.97","1,452.81","1,394.17","1,339.15","1,302.20","1,421.69","1,355.88","1,316.62",2018,1316.62,-33.40,10.35
400,Jordan,...,...,...,...,74.65,...,...,...,...,...,75.56,...,...,...,...,...,116.00,...,...,...,...,...,...,...,...,...,...,...,...,2006,116.00,...,19.36
398,Kazakhstan,713.56,663.09,653.26,581.86,485.29,452.14,408.89,381.03,357.43,276.48,318.36,330.62,353.80,390.84,419.77,450.36,484.25,494.84,478.48,481.48,526.82,521.71,535.11,548.08,593.17,588.59,593.44,630.91,653.88,2018,653.88,-8.36,35.69
404,Kenya,...,...,...,...,47.28,122.20,...,...,...,...,134.70,...,...,...,...,48.50,...,...,...,...,178.00,...,...,...,...,...,...,...,...,2010,178.00,...,4.24
296,Kiribati,...,...,...,...,0.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,0.00,...,0.00
414,Kuwait,...,...,...,...,113.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,...,...,1994,113.00,...,68.10
417,Kyrgyzstan,78.66,67.76,56.48,45.18,34.27,22.74,23.83,25.68,23.20,22.13,20.81,19.13,20.10,20.51,21.36,21.75,23.25,31.94,33.82,35.85,31.66,...,...,...,...,...,...,...,...,2010,31.66,-59.76,5.84
418,Lao People's Democratic Republic,4.18,...,...,...,...,...,...,...,...,...,7.87,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,7.87,88.28,1.48
428,Latvia,95.66,92.11,74.96,65.50,55.63,50.72,50.30,47.89,44.19,42.55,41.09,44.19,43.03,44.84,44.13,43.71,44.19,44.59,40.86,38.22,39.37,36.70,36.65,35.95,35.38,34.55,32.79,32.88,33.85,2018,33.85,-64.61,17.55
422,Lebanon,...,...,...,...,54.11,...,...,...,...,...,57.98,...,...,...,...,...,...,...,...,...,...,81.38,84.65,88.67,...,...,...,...,...,2013,88.67,...,15.00
426,Lesotho,...,...,...,...,5.05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,5.05,...,2.71
430,Liberia,...,...,...,...,...,...,...,...,...,...,1.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1.00,...,0.35
440,Lithuania,155.89,151.12,103.89,78.92,72.73,73.86,75.89,77.56,77.48,68.38,62.59,64.09,65.75,66.13,68.00,67.66,70.20,67.00,67.64,61.75,63.77,60.50,62.50,61.16,59.27,60.36,59.60,55.89,56.23,2018,56.23,-63.93,20.07
442,Luxembourg,41.03,46.86,46.79,44.59,41.09,34.65,34.79,34.56,33.48,36.02,39.75,41.48,41.90,44.69,53.65,55.38,49.92,45.53,42.27,37.70,38.50,39.20,36.60,33.19,31.02,27.50,24.74,21.66,19.74,2018,19.74,-51.90,32.66
450,Madagascar,...,...,...,...,16.59,...,...,...,...,...,24.34,...,...,...,...,30.10,47.80,49.90,32.40,32.80,34.90,...,...,...,...,...,...,...,...,2010,34.90,...,1.65
454,Malawi,28.70,...,...,...,26.27,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,26.27,-8.47,2.70
458,Malaysia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.04,...,...,...,...,...,...,...,2011,1.04,...,0.04
466,Mali,...,...,...,...,...,11.31,...,...,...,...,31.45,...,...,...,...,...,...,...,...,...,8.79,...,...,...,...,...,...,...,...,2010,8.79,...,0.58
470,Malta,7.43,7.64,8.73,8.78,9.40,9.19,9.38,9.67,9.49,9.45,9.50,7.84,7.86,8.45,7.81,9.76,9.70,10.02,10.07,8.30,8.89,7.80,9.16,8.18,8.61,7.50,6.09,6.34,4.52,2018,4.52,-39.22,10.28
584,Marshall Islands,...,...,...,...,...,...,...,...,...,...,0.37,...,...,...,...,0.43,...,...,...,...,0.59,...,...,...,...,...,...,...,...,2010,0.59,...,10.39
478,Mauritania,...,...,...,...,...,6.87,...,...,...,...,10.31,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,10.31,...,3.92
480,Mauritius,...,...,...,...,...,20.36,...,...,...,...,13.56,13.46,13.75,14.29,13.95,13.69,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,13.69,...,11.20
583,Micronesia (Federated States of),...,...,...,...,2.25,...,...,...,...,...,1.26,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1.26,...,11.69
492,Monaco,0.57,0.62,0.82,0.65,0.63,0.58,0.57,0.54,0.50,0.48,0.46,0.47,0.43,0.41,0.39,0.37,0.28,0.27,0.27,0.26,0.25,0.24,0.24,0.24,0.21,0.19,0.17,0.16,0.14,2018,0.14,-74.59,3.73
496,Mongolia,2.30,2.30,2.50,2.50,2.60,2.70,2.90,2.96,2.98,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1998,2.98,29.57,1.27
499,Montenegro,7.66,9.45,2.51,4.65,3.99,2.87,6.31,6.22,7.49,8.39,8.80,7.25,7.33,7.36,7.53,7.41,7.72,7.91,9.30,7.48,9.02,10.15,...,...,...,...,...,...,...,2011,10.15,32.48,16.23
504,Morocco,...,...,...,...,152.00,...,...,...,...,...,190.82,...,...,...,...,...,...,...,...,...,302.07,...,326.56,...,...,...,...,...,...,2012,326.56,...,9.82
508,Mozambique,75.94,...,...,...,93.10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,93.10,22.60,6.23
104,Myanmar,...,...,...,...,...,...,...,...,...,...,0.02,0.02,0.02,0.02,0.02,0.03,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,0.03,...,0.00
516,Namibia,...,...,...,...,...,...,...,...,...,...,41.20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,41.20,...,22.96
520,Nauru,...,...,...,...,...,...,...,...,...,...,0.05,...,...,0.21,...,...,...,0.08,...,...,0.15,...,...,...,...,...,...,...,...,2010,0.15,...,14.98
524,Nepal,...,...,...,...,...,...,...,...,...,...,67.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,67.00,...,2.80
528,Netherlands,587.21,446.26,433.47,418.57,395.54,486.15,373.19,355.17,423.93,421.40,399.78,389.22,375.50,370.57,357.97,347.51,335.62,318.53,311.97,292.13,288.15,273.41,263.74,257.75,245.21,243.09,232.26,220.68,211.61,2018,211.61,-63.96,12.40
554,New Zealand,101.71,102.98,112.39,113.91,118.10,121.21,126.97,135.05,129.91,137.93,144.97,152.05,155.40,162.97,157.40,165.85,165.20,161.48,164.23,154.19,155.78,155.39,163.59,163.56,164.20,165.66,159.71,170.78,168.34,2018,168.34,65.52,35.49
558,Nicaragua,...,...,...,...,18.58,...,...,...,...,...,69.62,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,69.62,...,13.73
562,Niger,...,...,...,...,...,...,...,...,...,...,22.00,...,...,...,...,...,...,...,24.00,...,...,...,...,...,...,...,...,...,...,2008,24.00,...,1.57
566,Nigeria,...,...,...,...,470.34,...,...,...,...,...,"1,005.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1005.00,...,8.22
570,Niue,...,...,...,...,0.03,...,...,...,...,...,...,...,...,...,...,0.07,0.08,0.09,0.06,0.06,...,...,...,...,...,...,...,...,...,2009,0.06,...,34.59
807,North Macedonia,41.41,37.11,32.19,36.00,34.15,34.31,33.91,35.91,37.08,36.36,34.07,33.96,32.06,34.88,31.70,32.10,33.00,34.29,35.94,34.07,...,...,...,...,...,...,...,...,...,2009,34.07,-17.74,16.46
578,Norway,201.63,196.05,200.08,204.56,209.17,220.07,230.69,239.12,242.53,235.62,223.07,221.03,215.71,215.97,213.58,216.20,214.92,216.23,209.65,200.04,204.80,206.08,202.10,194.90,188.16,177.67,169.13,161.63,163.49,2018,163.49,-18.92,30.63
512,Oman,...,...,...,...,0.22,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,0.22,...,0.10
585,Palau,...,...,...,...,...,...,...,...,...,...,0.00,...,...,...,...,0.01,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,0.01,...,0.26
591,Panama,...,...,...,...,1.65,...,...,...,...,...,33.69,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,33.69,...,11.12
598,Papua New Guinea,...,...,...,...,...,...,...,...,...,...,18.23,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,18.23,...,3.12
600,Paraguay,79.04,...,...,...,43.58,...,...,...,...,...,39.06,...,...,...,...,48.05,...,...,...,...,...,64.21,62.17,...,...,...,...,...,...,2012,62.17,-21.34,9.68
604,Peru,...,...,...,...,138.46,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,138.46,...,5.81
608,Philippines,...,...,...,...,316.80,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,316.80,...,4.65
616,Poland,"1,089.52","1,072.50","1,056.70","1,061.71","1,055.17","1,053.30","1,083.77","1,030.43",942.40,913.83,851.84,828.83,797.67,818.47,839.76,869.47,890.32,892.80,863.09,856.36,887.89,871.67,835.95,795.83,746.58,725.26,742.18,803.65,...,2017,803.65,-26.24,21.17
620,Portugal,251.03,265.04,285.54,275.10,274.02,284.85,265.14,266.90,279.48,290.39,283.17,280.98,286.65,262.45,264.46,269.03,248.01,237.20,220.06,208.43,191.79,175.79,162.99,159.65,156.65,160.46,154.08,157.42,152.38,2018,152.38,-39.30,14.86
634,Qatar,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,175.69,...,...,...,...,...,...,...,...,...,...,...,2007,175.69,...,144.19
498,Republic of Moldova,137.38,117.94,78.45,63.13,56.76,47.77,45.03,41.79,35.05,25.65,24.40,26.61,27.37,30.71,32.11,32.86,30.89,32.39,34.81,35.05,39.10,39.95,37.02,36.34,...,...,...,...,...,2013,36.34,-73.55,8.92
642,Romania,484.53,427.81,462.93,406.84,399.44,397.10,460.00,423.07,393.44,330.29,383.51,365.22,378.66,397.00,364.73,328.62,329.87,351.60,309.03,275.10,253.05,258.30,280.48,237.53,229.60,227.75,213.42,207.60,204.04,2018,204.04,-57.89,10.46
643,Russian Federation,"8,006.17","7,645.87","6,186.49","5,890.42","5,237.93","5,181.71","5,131.90","4,763.62","4,720.35","4,722.76","4,831.12","4,958.21","4,917.11","5,008.39","4,989.70","5,043.94","5,096.63","5,019.21","5,095.87","4,789.16","4,902.00","4,991.70","4,803.85","4,576.82","4,645.86","4,705.25","4,484.77","4,448.25","4,549.64",2018,4549.64,-43.17,31.22
