"Country_ID","Country"
862,"Venezuela (Bolivarian Republic of)"
NA,"Afghanistan"
NA,"Albania"
NA,"Algeria"
NA,"Angola"
NA,"Anguilla"
NA,"Antigua and Barbuda"
NA,"Argentina"
NA,"Armenia"
NA,"Australia"
NA,"Austria"
NA,"Azerbaijan"
NA,"Bahamas"
NA,"Bahrain"
NA,"Bangladesh"
NA,"Barbados"
NA,"Belarus"
NA,"Belgium"
NA,"Belize"
NA,"Benin"
NA,"Bhutan"
NA,"Bolivia (Plurinational State of)"
NA,"Bosnia and Herzegovina"
NA,"Botswana"
NA,"Brazil"
NA,"British Virgin Islands"
NA,"Brunei Darussalam"
NA,"Bulgaria"
NA,"Burkina Faso"
NA,"Burundi"
NA,"Cabo Verde"
NA,"Cambodia"
NA,"Cameroon"
NA,"Canada"
NA,"Cayman Islands"
NA,"Central African Republic"
NA,"Chad"
NA,"Chile"
NA,"China, People's Republic of"
NA,"China: Taiwan, Province of China"
NA,"Colombia"
NA,"Comoros"
NA,"Congo"
NA,"Costa Rica"
NA,"Côte d'Ivoire"
NA,"Croatia"
NA,"Cuba"
NA,"Cyprus"
NA,"Czechia"
NA,"Democratic People's Republic of Korea"
NA,"Democratic Republic of the Congo"
NA,"Denmark"
NA,"Djibouti"
NA,"Dominica"
NA,"Dominican Republic"
NA,"Ecuador"
NA,"Egypt"
NA,"El Salvador"
NA,"Equatorial Guinea"
NA,"Eritrea"
NA,"Estonia"
NA,"Ethiopia"
NA,"Fiji"
NA,"Finland"
NA,"France"
NA,"Gabon"
NA,"Gambia"
NA,"Georgia"
NA,"Germany"
NA,"Ghana"
NA,"Greece"
NA,"Greenland"
NA,"Grenada"
NA,"Guatemala"
NA,"Guinea"
NA,"Guinea-Bissau"
NA,"Guyana"
NA,"Haiti"
NA,"Honduras"
NA,"Hungary"
NA,"Iceland"
NA,"India"
NA,"Indonesia"
NA,"Iran (Islamic Republic of)"
NA,"Iraq"
NA,"Ireland"
NA,"Italy"
NA,"Jamaica"
NA,"Japan"
NA,"Jordan"
NA,"Kazakhstan"
NA,"Kenya"
NA,"Kingdom of Eswatini"
NA,"Kiribati"
NA,"Kosovo"
NA,"Kuwait"
NA,"Kyrgyzstan"
NA,"Lao People's Democratic Republic"
NA,"Latvia"
NA,"Lebanon"
NA,"Lesotho"
NA,"Liberia"
NA,"Libya"
NA,"Liechtenstein"
NA,"Lithuania"
NA,"Luxembourg"
NA,"Madagascar"
NA,"Malawi"
NA,"Malaysia"
NA,"Mali"
NA,"Mauritania"
NA,"Mauritius"
NA,"Mexico"
NA,"Mongolia"
NA,"Montenegro"
NA,"Montserrat"
NA,"Morocco"
NA,"Mozambique"
NA,"Myanmar"
NA,"Namibia"
NA,"Nauru"
NA,"Nepal"
NA,"Netherlands"
NA,"New Zealand"
NA,"Nicaragua"
NA,"Niger"
NA,"Nigeria"
NA,"Norway"
NA,"Oman"
NA,"Pakistan"
NA,"Palau"
NA,"Panama"
NA,"Papua New Guinea"
NA,"Paraguay"
NA,"Peru"
NA,"Philippines"
NA,"Poland"
NA,"Portugal"
NA,"Puerto Rico"
NA,"Qatar"
NA,"Republic of Korea"
NA,"Republic of Moldova"
NA,"Republic of North Macedonia"
NA,"Romania"
NA,"Russian Federation"
NA,"Rwanda"
NA,"Saint Kitts and Nevis"
NA,"Saint Lucia"
NA,"Saint Vincent and the Grenadines"
NA,"Sao Tome and Principe"
NA,"Saudi Arabia"
NA,"Senegal"
NA,"Serbia"
NA,"Sierra Leone"
NA,"Slovakia"
NA,"Slovenia"
NA,"Solomon Islands"
NA,"Somalia"
NA,"South Africa"
NA,"South Sudan"
NA,"Spain"
NA,"Sri Lanka"
NA,"State of Palestine"
NA,"Sudan"
NA,"Suriname"
NA,"Sweden"
NA,"Switzerland"
NA,"Syrian Arab Republic"
NA,"Thailand"
NA,"Timor-Leste"
NA,"Togo"
NA,"Tonga"
NA,"Trinidad and Tobago"
NA,"Tunisia"
NA,"Turkey"
NA,"Turks and Caicos Islands"
NA,"Tuvalu"
NA,"Uganda"
NA,"Ukraine"
NA,"United Arab Emirates"
NA,"United Kingdom of Great Britain and Northern Ireland"
NA,"United Republic of Tanzania: Mainland"
NA,"United Republic of Tanzania: Zanzibar"
NA,"United States"
NA,"Uruguay"
NA,"Uzbekistan"
NA,"Vanuatu"
NA,"Venezuela (Bolivarian Republic of)"
NA,"Viet Nam"
NA,"Yemen"
NA,"Zambia"
NA,"Zimbabwe"
